0	31895.99097	0	12837.1461	16271.36282	7754.274176	8539.954098	14406.82505	10812.99367	0	13293.19826	0
31895.99097	0	8003.91904	48103.0893	30485.8577	29056.65638	32000.73999	26992.47895	20259.1135	3625.906783	24905.99928	12683.60832
0	8003.91904	0	0	4083.104701	3891.685496	4285.999533	7230.44231	5426.783946	971.2672135	0	3397.542641
12837.1461	48103.0893	0	0	24539.22248	11694.40208	25758.60866	21727.2695	16307.32841	2918.629816	20047.78292	10209.51713
16271.36282	30485.8577	4083.104701	24539.22248	0	29645.81967	32649.59859	27539.78823	20669.89463	1849.713491	12705.50117	6470.392878
7754.274176	29056.65638	3891.685496	11694.40208	29645.81967	0	15559.47968	52497.40199	19700.87348	1762.997448	12109.85714	6167.055699
8539.954098	32000.73999	4285.999533	25758.60866	32649.59859	15559.47968	0	28908.27646	21697.00883	1941.628183	26673.7084	6791.915194
14406.82505	26992.47895	7230.44231	21727.2695	27539.78823	52497.40199	28908.27646	0	73205.31391	3275.509121	44998.30397	22915.79857
10812.99367	20259.1135	5426.783946	16307.32841	20669.89463	19700.87348	21697.00883	73205.31391	0	2458.422258	16886.66219	17199.37487
0	3625.906783	971.2672135	2918.629816	1849.713491	1762.997448	1941.628183	3275.509121	2458.422258	0	3022.316992	1539.142618
13293.19826	24905.99928	0	20047.78292	12705.50117	12109.85714	26673.7084	44998.30397	16886.66219	3022.316992	0	21144.4404
0	12683.60832	3397.542641	10209.51713	6470.392878	6167.055699	6791.915194	22915.79857	17199.37487	1539.142618	21144.4404	0
